Propeller,RPM at 17 N,Power at 17 N (W),Torque at 17 N (Nm),Efficiency at 17 N (N/W),RPM at 8 N,Power at 8 N (W),Torque at 8 N (Nm),Efficiency at 8 N (N/W)
20x18(F1-GT),2586,163.76,0.567,0.114084,1811,58.56,0.2874,0.164659
20x14,2895,153.66,0.4983,0.113847,2040,56.02,0.2563,0.153582
19x12WE,2983,151.07,0.4821,0.113139,2083,55.18,0.2448,0.159962
181x10,3280,158.27,0.4439,0.112743,2288,58.81,0.2272,0.157216
19x12E,3084,154.37,0.4704,0.112651,2150,57.02,0.239,0.158364
18x55MR,3952,152.32,0.366,0.112518,2756,55.85,0.1865,0.159722
20x15C,2848,157.61,0.5154,0.112386,2016,56.45,0.2649,0.150417
18x8W,3588,159.55,0.4106,0.111721,2503,59.51,0.2108,0.154819
18x8E,3801,156.79,0.3863,0.111651,2651,57.63,0.1969,0.158786
18x10E,3526,161.38,0.4213,0.111217,2458,59.19,0.2142,0.157356
181x12,3181,161.95,0.4718,0.109176,2218,60,0.2411,0.152751
18x10,3704,163.34,0.4108,0.108187,2583,60.8,0.2114,0.15015
18x12WE,3255,165.72,0.4683,0.107588,2269,61.17,0.2375,0.151283
18x8,3956,160,0.3838,0.106967,2760,59.82,0.1981,0.148859
18x6W,4046,160.22,0.3763,0.10687,2834,59.48,0.195,0.147464
18x12E,3373,168.26,0.4572,0.106658,2351,61.85,0.2321,0.151112
17x10WE,3632,168.58,0.4294,0.105668,2532,62.07,0.2176,0.148971
17x7E,4385,167.36,0.3558,0.105023,3098,59.83,0.1819,0.143931
17x10,3670,169.78,0.429,0.104467,2559,62.66,0.2193,0.147682
18x12,3585,170.67,0.4388,0.10444,2498,63.29,0.2254,0.146756
17x8E,4191,167.02,0.3735,0.104257,2963,59.58,0.1905,0.142596
17x8,3972,164.47,0.3939,0.103822,2771,60.92,0.2021,0.146198
17x6E,4656,168.33,0.3385,0.103702,3272,61.75,0.1735,0.142648
205x205E(CD),2399,183.14,0.6733,0.103601,1656,66.99,0.3398,0.154429
17x6,4386,169.4,0.3598,0.103486,3100,61.55,0.1862,0.139793
17x8N,4177,169.04,0.3795,0.102766,2951,61.28,0.1957,0.13882
17x12W,3415,175.64,0.4723,0.102216,2380,64.87,0.2406,0.14342
16x55MR,4747,170.32,0.3377,0.102074,3328,62.12,0.1715,0.14256
17x10E,3932,169.22,0.4088,0.10156,2740,62.35,0.2076,0.144334
17x10N,3932,170.67,0.4121,0.10069,2741,63.14,0.2114,0.141748
16x7,4570,176.43,0.3613,0.099356,3217,64.79,0.1858,0.13486
16x8E,4600,176.9,0.3598,0.099116,3234,64.24,0.1833,0.136559
16x7E(3D),4800,174.71,0.3432,0.099076,3363,64.12,0.175,0.138297
16x8,4338,177.08,0.3809,0.099039,3067,63.36,0.1955,0.134987
17x13,3468,181.43,0.4803,0.098986,2417,66.67,0.2447,0.140003
18x14,3532,181.23,0.4725,0.098794,2460,66.79,0.242,0.139405
16x6E,5111,174.65,0.3244,0.098346,3579,64.19,0.1659,0.13733
17x4W,4768,176.61,0.3488,0.098092,3346,66.4,0.182,0.132388
16x6,4839,176.29,0.345,0.097851,3389,65.81,0.1779,0.133946
17x12E,3775,179.53,0.4447,0.097816,2630,65.88,0.2256,0.139648
15x55MR,5220,179.79,0.3251,0.096251,3663,64.99,0.1646,0.135401
16x10,4095,179.43,0.4138,0.096081,2874,65.43,0.2116,0.132726
16x10E,4326,183.54,0.3957,0.095569,3057,65.03,0.2011,0.131272
155x12-4,3339,188.06,0.518,0.095293,2328,69.67,0.2652,0.133074
16x4W,5244,185.08,0.3327,0.093406,3688,68.87,0.1732,0.126735
15x6E,5648,186.53,0.311,0.092918,4002,66.5,0.159,0.126356
15x7E,5348,187.05,0.329,0.092844,3765,67.78,0.1676,0.128286
16x4E,6007,184.23,0.2924,0.092323,4224,68.22,0.1515,0.126174
20x225EP(CD),2452,205.68,0.7418,0.09222,1699,74.47,0.3734,0.135886
15x6,5319,188.15,0.3323,0.092158,3745,68.94,0.1711,0.126066
15x7,5058,185.63,0.3492,0.092114,3537,68.71,0.1791,0.128672
15x8,4839,187.91,0.367,0.091864,3387,69.34,0.1878,0.127415
16x12,3954,186.67,0.449,0.091756,2754,68.7,0.2289,0.130395
15x8E,5139,188.59,0.347,0.091269,3599,68.71,0.1765,0.127924
14x47SF,5403,190.94,0.3322,0.091174,3806,67.53,0.1656,0.128447
15x10,4589,194.6,0.3964,0.090049,3226,70.62,0.2025,0.124277
16x12E,4193,193.7,0.4333,0.089938,2960,68.89,0.22,0.123423
16x13,3911,192.55,0.4653,0.089577,2724,70.59,0.2369,0.127574
14x55MR,5893,192.34,0.3103,0.089073,4147,69.42,0.1571,0.123334
15x4E,6627,194.63,0.2777,0.088567,4674,71.42,0.1435,0.120364
15x4W,5885,194.71,0.3141,0.087968,4150,71.9,0.1634,0.118917
15x11,4510,199.68,0.4134,0.087951,3174,72.28,0.2109,0.120556
15x10E,4863,197.15,0.3834,0.087401,3399,72.01,0.1945,0.12334
16x14,3874,198.79,0.4836,0.087203,2698,73.11,0.2459,0.123909
14x6E,6305,199.09,0.2985,0.086628,4435,72.26,0.1521,0.120195
14x7,5628,200.54,0.3362,0.086451,3986,71.76,0.1724,0.117322
14x6,5938,199.13,0.3188,0.085736,4178,72.89,0.1638,0.117788
14x7E,6007,199.24,0.3167,0.085376,4219,72.66,0.161,0.118621
15x12,4452,205.83,0.4309,0.085327,3136,73.95,0.2197,0.117307
15x135-3,3891,203.03,0.4933,0.085129,2710,75.15,0.2517,0.119962
14x8,5389,204.45,0.3566,0.084962,3795,73.91,0.1822,0.116872
13x47SF,6117,204.18,0.3166,0.083945,4297,72.62,0.1575,0.119488
14x4W,6567,206.97,0.2977,0.083316,4631,76.27,0.1543,0.113158
14x85E,5731,207.88,0.3427,0.083145,4047,73.95,0.1741,0.114456
13x55MRF-RH,6616,207.56,0.2967,0.083138,4658,74.72,0.1501,0.115683
14x5N,7128,206.63,0.2754,0.082738,5047,76.23,0.1432,0.110664
13x55MR,6680,209.22,0.296,0.082371,4704,74.89,0.1497,0.114957
13x45MR,7218,208.85,0.2749,0.082154,5098,75.02,0.1395,0.113033
16x16,3853,213.21,0.5203,0.081604,2682,77.9,0.2641,0.116681
14x10,5174,212.85,0.388,0.081036,3623,77.39,0.1978,0.113727
14x10F,5229,214.47,0.3869,0.08071,3665,77.25,0.1957,0.113687
13x55E,7098,211.81,0.2842,0.080656,5017,76.23,0.1447,0.110393
14x10E,5494,217.15,0.3717,0.080109,3873,77.5,0.1884,0.110625
13x7F,6455,215.96,0.3163,0.080031,4540,78.01,0.1603,0.111075
13x65E,6843,214.52,0.2982,0.079838,4822,77.12,0.1515,0.110711
13x65E(F2B),6832,214.8,0.2984,0.079813,4813,77.38,0.1515,0.110532
13x45EP(F2B),7800,214.66,0.2615,0.079773,5499,78.29,0.1337,0.109498
13x45EP,7800,214.66,0.2615,0.079773,5499,78.29,0.1337,0.109498
13x7,6697,218.26,0.3086,0.078874,4718,79.54,0.1583,0.107925
13x6,7030,216.45,0.2933,0.078667,4967,78.55,0.1508,0.107294
14x11,5104,218.63,0.4057,0.078525,3567,80.08,0.2065,0.110003
13x4E,8189,218.05,0.2528,0.078441,5787,79.63,0.1297,0.106832
12x58SF,7347,219.52,0.2828,0.078419,5181,76.95,0.1404,0.111019
12x47SF,6937,217.79,0.2997,0.078341,4888,76.86,0.1489,0.110618
13x4W,7402,219.86,0.2817,0.078215,5231,80.58,0.1456,0.105988
12x6SF,6332,221.61,0.3307,0.078018,4449,78.64,0.1641,0.110694
135x9,6088,219.55,0.3432,0.077905,4274,80.3,0.1757,0.107643
13x8E,6452,222.65,0.3258,0.077582,4537,80.12,0.1652,0.108188
13x8,6502,222.86,0.3239,0.077492,4574,80.77,0.1658,0.107185
135x10,5705,223.31,0.369,0.077424,4029,79.69,0.1885,0.105923
12x38SF,7514,223.16,0.2812,0.077202,5298,78.89,0.1401,0.108779
125x6,7057,222.31,0.3004,0.076702,4987,80.06,0.1538,0.105051
12x7E-3,6323,225.56,0.3366,0.076497,4443,81.22,0.1706,0.107053
13x4,8111,223.13,0.262,0.07649,5732,82.48,0.1359,0.103223
12x55MR,7358,225.37,0.2898,0.076348,5190,80.49,0.1462,0.10604
12x45MR,7952,223.22,0.2678,0.076305,5596,80.71,0.1355,0.106255
13x9,5961,224.51,0.3593,0.075939,4186,81.29,0.183,0.105767
14x12,5064,225.41,0.4227,0.075908,3534,82.35,0.2149,0.107343
12x45MRF-RH,8039,224.41,0.2664,0.07588,5661,80.84,0.1348,0.105825
14x12N,5216,231.27,0.4177,0.074745,3653,83.98,0.2126,0.104367
12x8SF,5828,231.73,0.3773,0.074273,4102,81.08,0.1872,0.105341
12x6EP(F2B),7854,230.84,0.2795,0.074051,5529,83.32,0.1418,0.103109
12x6E,7859,231.14,0.2796,0.07396,5533,83.49,0.1418,0.102905
13x10,5846,232.54,0.3767,0.07386,4114,83.37,0.1917,0.102443
12x6,7529,233.5,0.294,0.073685,5311,84.69,0.1503,0.101228
14x12E,5372,236.9,0.4147,0.073376,3775,84.54,0.2098,0.102681
13x10F,5963,232.8,0.3724,0.073224,4184,83.83,0.1883,0.102576
14x13,5002,233.12,0.445,0.072945,3485,85.53,0.2259,0.103597
12x5,8477,235.25,0.2631,0.072942,6010,85.52,0.1354,0.098295
12x7,7225,236.51,0.3103,0.07253,5101,85.44,0.1583,0.099209
11x46SF,9036,235.91,0.2491,0.072157,6370,83.53,0.1236,0.102251
13x10E,6199,238.75,0.3646,0.072034,4350,86.03,0.1844,0.100904
11x47SF,8022,237.13,0.2824,0.071764,5643,84.28,0.1402,0.101791
12x4,9164,238.09,0.2475,0.071719,6482,88.08,0.128,0.096754
13x11,5742,241.15,0.3966,0.071606,4050,85.86,0.2017,0.098623
14x13N,5185,241.18,0.4387,0.07156,3627,87.51,0.2229,0.100684
14x135,4989,238.19,0.4553,0.071452,3476,87.46,0.2309,0.101392
11x38SF,8638,240.53,0.2645,0.071343,6105,84.76,0.1315,0.099852
125x10,6261,243.75,0.3686,0.070702,4395,88.45,0.1875,0.098105
115x6,8101,241.82,0.2845,0.070575,5711,88.08,0.1454,0.096903
12x8E,7274,243.46,0.317,0.070562,5129,87.11,0.1605,0.097566
12x8,6997,241.41,0.329,0.070427,4929,87.17,0.1676,0.097069
11x45MR,9122,243.29,0.2542,0.070136,6431,87.49,0.1283,0.097567
12x9W,6418,246.47,0.3626,0.070113,4510,88.93,0.184,0.097619
115x4,9119,243.55,0.2543,0.070032,6442,89.42,0.1308,0.095336
14x14,4976,243.35,0.4667,0.070031,3467,89.38,0.2366,0.099287
11x7E-3,7495,246.06,0.3105,0.069939,5282,88.55,0.1573,0.096722
11x55MR,8494,247.12,0.276,0.069479,6007,87.64,0.1391,0.095904
12x85F,7121,246.51,0.3295,0.069383,5023,87.93,0.1666,0.095764
12x9,6853,248.36,0.3443,0.06896,4822,89.35,0.1752,0.095636
11x45EP,9816,248.75,0.2413,0.068644,6948,89.27,0.1226,0.094338
11x7SF,7024,249.05,0.3378,0.068357,4945,87.11,0.1675,0.097067
14x14N,5165,252.49,0.4613,0.068291,3611,91.3,0.2341,0.096432
11x6-4,7265,252.06,0.3288,0.068089,5127,91.68,0.169,0.092587
11x55E,9146,250.74,0.2607,0.068086,6449,90.01,0.1321,0.094819
135x135,5436,256.68,0.4434,0.067727,3823,91.88,0.225,0.093928
12x10W,6359,255.52,0.3794,0.067562,4466,91.94,0.1924,0.094518
11x5,9209,253.06,0.2612,0.067539,6503,91.85,0.1335,0.09281
11x6,8712,255.3,0.2781,0.067076,6155,91.78,0.1419,0.092391
11x4,9827,254.59,0.2465,0.067039,6965,92.06,0.1266,0.091403
12x10,6771,257.63,0.3607,0.066694,4760,92.45,0.1833,0.092803
11x7E,8533,259.87,0.2891,0.066035,6029,92.54,0.1462,0.090972
11x7,8356,260.48,0.2961,0.065856,5902,93.75,0.1508,0.090201
135x14,5496,264.94,0.4533,0.065608,3869,94.57,0.2299,0.090676
14x14E,5327,265.04,0.4674,0.065549,3737,94.48,0.2356,0.092316
10x46SF,10586,262.54,0.2356,0.065179,7477,92.01,0.1166,0.09247
10x47SF,9347,262.99,0.2672,0.065142,6591,92.42,0.1324,0.092368
10x38SF,10068,262.46,0.2484,0.064897,7113,92.16,0.1234,0.09169
11x3,11018,262.38,0.2273,0.064815,7815,96.86,0.1178,0.087238
11x9-4,6466,267.41,0.3904,0.064592,4544,96.95,0.1993,0.089307
12x10E,7036,264.12,0.3577,0.064495,4954,94.09,0.1807,0.089717
105x6,9341,267.91,0.2728,0.063915,6594,96.7,0.1389,0.088121
10x38MRF-RH,10273,267.59,0.2475,0.063874,7255,95.48,0.1243,0.088846
10x45MRF-RH,10553,267.96,0.2414,0.063837,7453,95.53,0.1216,0.089032
12x11,6707,269.72,0.3806,0.063833,4712,97.18,0.1932,0.088521
105x45,11275,267.7,0.2261,0.06377,8004,97.13,0.1163,0.0865
10x45MR,10480,268.44,0.2436,0.063729,7401,96.12,0.1227,0.08843
11x8E,8319,269.52,0.3073,0.063622,5866,95.84,0.1553,0.088421
11x8,8151,268.7,0.3133,0.063604,5737,97.13,0.1594,0.0878
13x13N,6290,272.45,0.4091,0.0633,4411,98.29,0.2079,0.088186
11x8F,8439,272.7,0.3066,0.062939,5959,96.78,0.1549,0.087058
13x14,5614,277.88,0.4666,0.062473,3961,98.45,0.2361,0.085892
10x55MR,9832,273.38,0.265,0.062444,6944,97.14,0.1333,0.08675
10x5E,10800,273.54,0.2414,0.062392,7629,98.31,0.1221,0.086395
11x85E,8240,275.89,0.3182,0.06209,5802,98.56,0.1606,0.08635
10x6-4,8609,278.57,0.3072,0.061558,6084,100.78,0.1577,0.083803
10x4,11484,278.14,0.2307,0.061441,8144,101.17,0.1181,0.083439
10x58EP(F2B),10213,278.58,0.2597,0.061303,7210,99.48,0.1311,0.085209
10x5,10664,279.01,0.2489,0.06126,7540,101.1,0.1268,0.084006
11x9,8038,278.05,0.3303,0.061239,5645,100.62,0.1678,0.085047
13x135N,6276,281.9,0.4247,0.061163,4400,101.78,0.2155,0.085197
10x7SF,8297,281.29,0.3216,0.060975,5844,98.3,0.1594,0.086403
10x6E,10248,280.83,0.2608,0.060843,7233,100.34,0.1317,0.084485
95x5MR,10939,279.83,0.2442,0.060836,7718,99.54,0.1226,0.08519
12x12,6677,284.11,0.4029,0.060657,4688,102.2,0.204,0.084335
10x6,10120,283.78,0.2673,0.060081,7148,102.22,0.136,0.082707
10x3,13012,285.71,0.2098,0.059512,9245,105.35,0.1083,0.080145
12x12N,6880,288.2,0.3986,0.059344,4834,103.73,0.202,0.082237
10x6F,10732,288.34,0.2558,0.059234,7576,103.63,0.1293,0.081965
9x37SF,13186,288.38,0.2085,0.059112,9336,101.53,0.103,0.083354
10x7E,9893,290.42,0.2797,0.058697,6983,103.02,0.1411,0.081609
9x41SF,12774,290.8,0.2167,0.05865,9047,101.71,0.1072,0.082722
9x38SF,11953,290.62,0.2321,0.058552,8442,102.26,0.115,0.08305
11x10,7978,291.78,0.3494,0.058316,5599,105.1,0.1771,0.081593
10x7,9790,293.42,0.2851,0.058216,6913,104.77,0.1448,0.080504
9x46SF,12394,294.58,0.2262,0.05799,8761,103.09,0.1118,0.082092
9x47SF,11115,294.06,0.2526,0.057958,7847,103.3,0.125,0.081863
95x45,13272,294.6,0.2114,0.057882,9416,107.17,0.1084,0.078929
12x12E,6951,297.38,0.4083,0.057318,4883,105.62,0.2055,0.080471
12x13,6664,300.94,0.4272,0.057279,4678,107.85,0.216,0.079993
95x6,11321,299.57,0.2517,0.05701,8014,107.28,0.1281,0.07835
11x10E,8096,299.48,0.352,0.056978,5688,106.99,0.1774,0.080005
9x45MRF-RH,12432,300.06,0.2297,0.056915,8790,106.49,0.1155,0.079314
11x55R-RH,11724,300.34,0.2439,0.056839,8294,107.32,0.1231,0.07895
9x45MR,12461,300.69,0.2296,0.056803,8813,107.1,0.1155,0.078867
9x45E,12757,302.49,0.2258,0.056385,9034,107.97,0.114,0.077884
10x8,9586,304.32,0.3016,0.056271,6757,108.83,0.1529,0.078006
12x13N,6871,304.22,0.4208,0.056246,4825,108.7,0.2128,0.078552
10x8E,9670,305.06,0.2998,0.056103,6815,108.49,0.1511,0.078127
93x3,14362,306.43,0.2031,0.055649,10222,111.85,0.1043,0.075418
9x6SF,10333,309.27,0.2844,0.055318,7282,107.97,0.1407,0.078699
9x4,13812,308.01,0.2128,0.05531,9803,111.66,0.1085,0.075557
11x11,7935,309.5,0.3715,0.055075,5566,111.47,0.188,0.076933
95x7N,15872,310.54,0.1867,0.054808,8311,113.44,0.1297,0.074641
9x8E-3,9384,313.11,0.317,0.054703,6605,111.68,0.1596,0.076366
9x5,12980,311.91,0.2295,0.054519,9190,112.54,0.1167,0.075025
11x12W,7295,316.34,0.4111,0.054334,5133,112.68,0.2074,0.075455
9x6-4,10197,314.31,0.2933,0.054311,7198,113.57,0.15,0.074583
9x6E,11725,315.01,0.2558,0.054197,8276,112.21,0.1288,0.07546
9x3,14845,315.05,0.2026,0.054044,10558,115.19,0.1038,0.073332
12x14,6664,319.81,0.4543,0.053909,4677,114.05,0.2293,0.07567
875x50,13129,318.63,0.2314,0.053451,9290,114.68,0.1174,0.07373
95x75N,11739,320.56,0.2601,0.05324,8276,115.39,0.1325,0.073351
10x9,9435,321.85,0.324,0.053237,6639,115.28,0.1641,0.07392
9x6,12392,320.82,0.2463,0.053219,8761,115.25,0.1251,0.07332
925x60,13503,320.86,0.2264,0.053178,9548,116.17,0.1156,0.072824
9x5F,13647,321.56,0.2244,0.053053,9664,115.25,0.1132,0.073386
9x65,12029,321.69,0.2554,0.052875,8481,115.99,0.1296,0.073066
11x12,7950,326.45,0.3912,0.052184,5575,116.96,0.1975,0.073281
9x75SF,9957,328.76,0.315,0.051773,7014,114.9,0.1561,0.073167
9x3N,17772,328.97,0.1766,0.051757,12745,122.17,0.0912,0.06895
8x38SF,14456,329.87,0.2174,0.051732,10232,115.71,0.1075,0.072963
8x41SF,15079,329.32,0.2086,0.051674,10665,115.56,0.103,0.073105
9x7,12152,332.38,0.2608,0.051275,8572,119.57,0.1323,0.070852
7x9E,17217,332.45,0.1841,0.05122,12282,121.79,0.0943,0.069205
11x12E,7588,336.81,0.4207,0.051083,5331,119.69,0.2111,0.071675
9x75,11798,337.4,0.2727,0.050543,8312,121.11,0.1381,0.069928
9x75E,11235,338.09,0.2864,0.050483,7923,119.96,0.144,0.070245
8x47SF,13488,338.41,0.239,0.050444,9526,118.4,0.1181,0.071501
10x10,9361,343.66,0.3488,0.049833,6581,122.85,0.1762,0.069377
8x4E,15939,341.5,0.2044,0.049815,11293,122.22,0.1029,0.069028
9x6N,14925,341.94,0.2189,0.049758,10552,124.09,0.1118,0.068107
8x45MR,15220,343.53,0.2151,0.04959,10767,122.28,0.108,0.068994
10x10E,9486,347.18,0.3477,0.049352,6672,123.33,0.1746,0.069072
11x13,7945,347.95,0.4174,0.048969,5571,124.52,0.2104,0.068904
78x4,17789,348.86,0.187,0.048802,12662,126.9,0.0953,0.066425
8x4,16947,348.85,0.1966,0.048755,12052,126.24,0.1,0.066597
875x70N,13820,353.15,0.2435,0.048243,9745,126.62,0.1237,0.066684
9x8,11921,352.95,0.2823,0.048235,8392,126.44,0.1428,0.067036
8x5,16017,355.42,0.2118,0.047839,11342,128.07,0.1075,0.065908
9x85,11684,359.23,0.2924,0.047532,8228,128.14,0.1479,0.066024
8x6SF,12769,359.36,0.268,0.047461,9009,124.99,0.1325,0.06723
8x375,19373,359.53,0.177,0.047372,13840,130.8,0.0904,0.064329
9x45R-RH,16591,361.7,0.2079,0.047124,11759,128.94,0.1045,0.065393
875x75N,13754,365.55,0.2535,0.046629,9691,130.91,0.1285,0.064529
8x6E,14277,366.66,0.2447,0.0465,10084,130.25,0.1229,0.064627
9x39SFR-PC,17904,367.06,0.1955,0.046351,12765,131.88,0.0984,0.063874
875x75W,14371,368.11,0.244,0.046331,10137,131.55,0.1237,0.064045
8x4F,18169,368.18,0.1933,0.046232,12938,131.75,0.0973,0.063819
8x6,15571,370.43,0.2266,0.046023,11012,132.45,0.1148,0.063437
9x44SFR,17500,372.51,0.2031,0.045745,12435,133.27,0.1021,0.063307
9x9,11828,376.89,0.3037,0.045238,8321,134.41,0.1532,0.063041
875x75NN,14579,380.07,0.2484,0.044877,10274,136.12,0.1259,0.062002
875x80NN,14573,382.29,0.2501,0.044619,10268,136.82,0.1266,0.061691
7x38WSF,16852,382.32,0.2163,0.044529,11923,133.32,0.1067,0.063097
875x775NN,14590,385.42,0.2518,0.044246,10282,137.6,0.1275,0.061374
11x14,8257,388.55,0.4472,0.044111,5805,137.85,0.2249,0.061698
7x41SF,19046,385.6,0.1934,0.044104,13473,134.92,0.0953,0.062502
7x4SF,18765,386.65,0.1964,0.04404,13288,135.04,0.0968,0.062411
78x6,16595,389.55,0.2239,0.043749,11730,139.36,0.1133,0.060511
8x7,15334,389.87,0.2422,0.043724,10816,138.98,0.1224,0.060639
7x3,23786,394.99,0.1585,0.043075,17052,143.83,0.0806,0.058429
10x12WE,8896,396.12,0.4242,0.043063,6249,139.94,0.2122,0.060845
7x4E,19710,395.84,0.1916,0.043013,13990,140.67,0.096,0.059724
875x85N,13678,396.73,0.2765,0.04299,9629,141.14,0.1396,0.059926
88x85,14075,396.03,0.2687,0.042971,9919,140.84,0.1356,0.059759
7x4,20747,398.8,0.1835,0.04268,14756,143.73,0.0928,0.058589
875x825NN,14555,402.01,0.2631,0.042433,10254,143.55,0.1329,0.058796
88x89,13976,404.55,0.2764,0.042036,9837,144.07,0.1393,0.058533
9x10,11840,406.74,0.3272,0.041911,8326,144.58,0.1647,0.058586
875x875W,14280,407.98,0.2723,0.04179,10064,144.66,0.1373,0.058164
875x875NN,14529,408.9,0.2683,0.041718,10232,145.21,0.1353,0.058127
7x5SF,18035,408.23,0.2159,0.041656,12729,142.49,0.1065,0.059176
875x90W,14256,413.69,0.2765,0.041206,10046,146.82,0.1393,0.057279
7x5E,18690,414.42,0.2114,0.041096,13218,146.93,0.1059,0.057325
88x90,14041,414.06,0.2815,0.041081,9889,146.93,0.1417,0.057325
7x5,20081,415.48,0.1976,0.040939,14226,148.96,0.0998,0.056525
8x37SFR-PC,22038,415.63,0.1802,0.040913,15742,148.74,0.0902,0.056599
88x875,13986,416.46,0.2846,0.040828,9845,148.01,0.1433,0.05696
875x90NN,14519,418.88,0.2749,0.040724,10224,148.73,0.1384,0.056733
8x8,15244,419.75,0.2625,0.040595,10737,149.4,0.1323,0.056478
8x73,15774,420.4,0.254,0.04052,11114,149.44,0.128,0.05633
78x7,16269,422.12,0.2475,0.040363,11471,150.26,0.1246,0.056201
875x925NN,14508,423.22,0.2778,0.04031,10216,150.03,0.1398,0.056242
875x925W,14254,423.75,0.2833,0.040227,10044,149.78,0.1425,0.056149
65x29,27513,426.48,0.1479,0.039902,19767,155.12,0.0749,0.054213
8x42SFR,21745,430.54,0.1889,0.039537,15445,152.74,0.0944,0.055162
65x37,25551,430.71,0.1609,0.039516,18223,155.71,0.0814,0.054024
88x925,13990,430.91,0.2942,0.039457,9847,153.09,0.1478,0.055069
88x95,14066,433.12,0.294,0.039287,9905,153.41,0.1477,0.054885
88x975,14083,433.91,0.2941,0.039223,9919,153.96,0.1477,0.054669
7x6SF,17693,439.22,0.2368,0.038784,12473,153.02,0.1168,0.055149
7x6W,18103,440.53,0.2325,0.038623,12791,156.75,0.1167,0.053746
7x4F,23449,441.07,0.1796,0.038596,16748,157.86,0.0898,0.053315
6x31SF,26507,442.22,0.1593,0.038489,18881,154.44,0.0779,0.054446
7x6E,18209,443.04,0.232,0.038427,12852,156.74,0.1161,0.053708
7x6,19675,444.52,0.2155,0.038306,13900,157.95,0.1086,0.053245
